,index,cardId,cardType,name,img,regulation,setNum,setCount,rarity,dexNum,dexClass,height,weight,dexDesc,author,desc,stage,hp,pType,ability,abilityDesc,waza1Cost,waza1Name,waza1Damage,waza1Desc,waza2Cost,waza2Name,waza2Damage,waza2Desc,GXCost,GXName,GXDamage,GXDesc,weakType,weakValue,resistType,resistValue,escape,spRule
0,1,30001,pokemon,ビードル,/assets/images/card_images/large/HXY/030001_P_BIDORU.jpg,HXY,1,39,,13,けむしポケモン,0.3,3.2,森や 草地に 多く 生息。 頭の 先に ５センチぐらいの 小さく 鋭い 毒針を持つ。,Akira Komayama,,たね,40,['grass'],,,['grass'],いとをはく,10,コインを1回投げオモテなら、相手のバトルポケモンをマヒにする。,,,,,,,,,fire,×2,,,1,
1,2,30002,pokemon,ヤナップ,/assets/images/card_images/large/HXY/030002_P_YANAPPU.jpg,HXY,2,39,,511,くさざるポケモン,0.6,10.5,元気の ない ポケモンに 頭の 葉っぱを 分け与える。 疲れを 取る 効果が あるのだ。,Masakazu Fukuda,,たね,70,['grass'],,,['none'],もってくる,,自分の山札を1枚引く。,"['none', 'none']",みだれひっかき,10×,コインを3回投げ、オモテの数×10ダメージ。,,,,,fire,×2,,,1,
2,3,30003,pokemon,ハリマロン,/assets/images/card_images/large/HXY/030003_P_HARIMARON.jpg,HXY,3,39,,650,いがぐりポケモン,0.4,9.0,普段 やわらかい 頭の トゲは 力を こめると 鋭く とがり 岩をも つらぬくほど 硬くなる。,5ban Graphics,,たね,60,['grass'],,,['grass'],つるのムチ,10,,"['grass', 'none']",タネばくだん,20,,,,,,fire,×2,,,1,
3,4,30004,pokemon,ハリボーグ,/assets/images/card_images/large/HXY/030004_P_HARIBOGU.jpg,HXY,4,39,,651,とげよろいポケモン,0.7,29.0,体を 覆う 頑丈な 殻が 敵の 攻撃を 弾き返し 鋭い トゲで 反撃する。,5ban Graphics,,1 進化,90,['grass'],,,"['grass', 'none']",やどりぎのタネ,20,このポケモンのHPを「10」回復する。,"['grass', 'none', 'none']",ニードルアーム,50,,,,,,fire,×2,,,2,
4,5,30005,pokemon,ブリガロン,/assets/images/card_images/large/HXY/030005_P_BURIGARON.jpg,HXY,5,39,,652,とげよろいポケモン,1.6,90.0,体当たりで ５０トンの 戦車を ひっくり返す パワー。 自分が 盾となって 仲間を 守る。,5ban Graphics,,2 進化,150,['grass'],,,"['grass', 'none', 'none']",ニードルアーム,50,,"['grass', 'grass', 'none', 'none']",ローリングアタック,80＋,コインを1回投げオモテなら、40ダメージを追加。,,,,,fire,×2,,,4,
5,6,30006,pokemon,マグマッグ,/assets/images/card_images/large/HXY/030006_P_MAGUMAGGU.jpg,HXY,6,39,,218,ようがんポケモン,0.7,35.0,火山地帯に 多く 発生。 暖かい ところを 探して のろのろ はいずり回っている。,Mitsuhiro Arita,,たね,80,['fire'],,,"['fire', 'none']",かえん,20,,,,,,,,,,water,×2,,,2,
6,7,30007,pokemon,バオップ,/assets/images/card_images/large/HXY/030007_P_BAOPPU.jpg,HXY,7,39,,513,こうおんポケモン,0.6,11.0,知能が 高く 木の実は 焼いてから 食べる 習性。 人の 手伝いを 好んでいる。,Naoyo Kimura,,たね,70,['fire'],,,['none'],もってくる,,自分の山札を1枚引く。,"['none', 'none']",みだれひっかき,10×,コインを3回投げ、オモテの数×10ダメージ。,,,,,water,×2,,,1,
7,8,30008,pokemon,フォッコ,/assets/images/card_images/large/HXY/030008_P_FOKKO.jpg,HXY,8,39,,653,キツネポケモン,0.4,9.4,小枝を 食べると 元気になって 摂氏２００度を 超える 熱気を 大きな 耳から 噴き出す。,5ban Graphics,,たね,60,['fire'],,,['fire'],ひっかく,10,,"['fire', 'none']",ひだね,20,,,,,,water,×2,,,1,
8,9,30009,pokemon,テールナー,/assets/images/card_images/large/HXY/030009_P_TERUNA.jpg,HXY,9,39,,654,キツネポケモン,1.0,14.5,木の枝を 尻尾に 挿している。 尻尾の 毛の 摩擦熱で 枝に 火をつけて 戦う。,5ban Graphics,,1 進化,80,['fire'],,,"['fire', 'none']",ひをふく,20＋,コインを1回投げオモテなら、20ダメージを追加。,"['fire', 'none', 'none']",ほのおのしっぽ,60,,,,,,water,×2,,,1,
9,10,30010,pokemon,マフォクシー,/assets/images/card_images/large/HXY/030010_P_MAFOKUSHI.jpg,HXY,10,39,,655,キツネポケモン,1.5,39.0,杖の 先端で 燃える 炎を 見つめて 精神統一すると 未来の 出来事を 見通せる。,5ban Graphics,,2 進化,140,['fire'],,,"['fire', 'none']",おにび,30,,"['fire', 'none', 'none', 'none']",だいもんじ,120,このポケモンについているエネルギーを1個選び、トラッシュする。,,,,,water,×2,,,2,
